,Room Details,City,Ward,Negotiable,Monthly Rent,Available Now?,Size in squared meters,Deposit in Yen,Deposit Required?,Key Price in Yen,Key Payment Required?,Floor Data,Year,Building Age,Closest Station,Time to Nearest Station,Bus Requried?
2836,4LDK APARTMENT,TOYOTAMAKITA,NERIMA,No,388000.0,No,150.57,756000,Yes,378000,Yes,1 / 3,1991,30,Sakuradai Station,8,No
2837,1K APARTMENT,YAKUMO,MEGURO,No,63000.0,No,17.39,0,No,0,No,1 / 3,1983,38,Toritsu-daigaku Station,7,No
2838,2LDK APARTMENT,IZUMI,SUGINAMI,No,118000.0,No,43.6,177000,Yes,0,No,5 / 9,1978,43,Meidaimae Station,5,No
2839,1DK APARTMENT,IKEBUKURO (2-4-CHOME),TOSHIMA,No,90000.0,No,25.51,85000,Yes,0,No,3 / 3,1986,35,Ikebukuro Station,9,No
2840,1DK APARTMENT,IKEBUKURO (2-4-CHOME),TOSHIMA,No,100000.0,No,30.6,92000,Yes,92000,Yes,2 / 5,1990,31,Kanamechou Station,9,No
2841,2LDK APARTMENT,MYOJINCHO,HACHIOJI,No,142000.0,No,53.52,136000,Yes,136000,Yes,10 / 14,2005,16,Keiou Hachioji Station,8,No
2842,2DK APARTMENT,OYAMADAI,SETAGAYA,No,137000.0,No,40.95,129000,Yes,0,No,1 / 2,2000,21,Denenchoufu Station,18,No
2843,2LDK APARTMENT,NAKAJUKU,ITABASHI,No,183000.0,No,58.86,171000,Yes,0,No,7 / 14,2006,15,Itabashikuyakushomae Station,2,No
2844,1K APARTMENT,HIGASHIGOTANDA,SHINAGAWA,No,89000.0,No,19.69,83000,Yes,83000,Yes,7 / 10,1999,22,Gotanda Station,5,No
2845,1R APARTMENT,SHAKUJIIDAI,NERIMA,No,62000.0,No,21.75,0,No,0,No,1 / 5,1989,32,Kamishakujii Station,10,No
2847,1K APARTMENT,SHINJUKU,SHINJUKU,No,164000.0,No,41.69,154000,Yes,0,No,7 / 8,2003,18,Shinjuku Gyoen Mae Station,3,No
2849,1R APARTMENT,NISHISHINJUKU,SHINJUKU,No,70000.0,No,18.27,65000,Yes,0,No,10 / 14,1981,40,Tochomae Station,8,No
2850,1LDK APARTMENT,SHINONOME,KOTO,No,172000.0,No,54.74,163000,Yes,0,No,11 / 14,2003,18,Tatsumi Station,9,No
2851,1K APARTMENT,KANDATACHO,CHIYODA,No,125000.0,No,33.21,115000,Yes,0,No,2 / 8,2002,19,Kanda Station,3,No
2852,1K APARTMENT,SHIMANE,ADACHI,No,69550.0,No,26.08,0,No,0,No,2 / 2,2006,15,Nishiarai Station,15,No
2853,1K APARTMENT,WAKABACHO,CHOFU,No,49000.0,No,19.03,0,No,0,No,1 / 2,1987,34,Sengawa Station,10,No
2854,2LDK APARTMENT,KAMISHINOZAKI,EDOGAWA,No,117550.0,No,52.99,112000,Yes,0,No,2 / 3,1997,24,Shinozaki Station,10,No
2855,1LDK APARTMENT,MATSUBARA,SETAGAYA,No,120000.0,No,47.52,120000,Yes,120000,Yes,3 / 5,1986,35,Meidaimae Station,7,No
2856,2DK APARTMENT,HARAMACHIDA,MACHIDA,No,70000.0,No,30.5,68000,Yes,0,No,2 / 2,1984,37,Machida Station,5,No
2857,1R APARTMENT,HIGASHIIKEBUKURO,TOSHIMA,No,70000.0,No,17.7,70000,Yes,0,No,10 / 11,1983,38,Higashiikebukuro Station,8,No
2858,1K APARTMENT,YOKOKAWA,SUMIDA,No,95500.0,No,25.95,87200,Yes,87200,Yes,7 / 7,2006,15,Oshiage Station,9,No
2859,1R APARTMENT,SHIMOCHIAI,SHINJUKU,No,55000.0,No,18.83,55000,Yes,0,No,3 / 4,1980,41,Mejiro Station,4,No
2860,1LDK APARTMENT,HYAKUNINCHO,SHINJUKU,No,200000.0,No,51.47,188000,Yes,0,No,12 / 22,1992,29,Okubo Station,3,No
2861,1R APARTMENT,MIDORIGAOKA,MEGURO,No,70000.0,No,16.0,65000,Yes,0,No,3 / 3,1987,34,Jiyugaoka Station,5,No
2862,1R APARTMENT,WAKAMATSUCHO,FUCHU,No,48000.0,No,20.76,41900,Yes,0,No,5 / 5,1984,37,Higashifuchu Station,5,No
2863,1R APARTMENT,NISHIAZABU,MINATO,No,75000.0,No,19.44,75000,Yes,0,No,3 / 5,1977,44,Nogizaka Station,6,No
2865,2LDK APARTMENT,NISHISHINJUKU,SHINJUKU,No,270530.0,Yes,50.8,258000,Yes,387000,Yes,13 / 13,2020,1,Nishi-shinjuku Station,5,No
2866,2DK APARTMENT,SANNO,OTA,No,125000.0,No,42.75,250000,Yes,0,No,2 / 5,1986,35,Omori Station,5,No
2867,1R APARTMENT,SHINKAWA,CHUO,No,130000.0,No,33.33,123000,Yes,0,No,8 / 12,2004,17,Hacchoubori Station,5,No
2868,1R APARTMENT,KITASHINJUKU,SHINJUKU,No,70000.0,No,16.35,0,No,0,No,5 / 5,1994,27,Nishi-shinjuku Station,11,No
2869,1R APARTMENT,TAKADANOBABA,SHINJUKU,No,60000.0,No,10.67,57000,Yes,57000,Yes,1 / 2,2014,7,Nishiwaseda Station,3,No
2870,2DK APARTMENT,OTOWA,BUNKYO,No,139000.0,No,58.0,129000,Yes,0,No,4 / 5,1985,36,Gokokuji Station,3,No
2871,1DK APARTMENT,OTSUKA,BUNKYO,No,90000.0,No,30.24,90000,Yes,0,No,5 / 7,1983,38,Shinotsuka Station,3,No
2872,3LDK APARTMENT,SUMIYOSHICHO,SHINJUKU,No,327000.0,No,74.34,315000,Yes,315000,Yes,3 / 5,2015,6,Akebonobashi Station,3,No
2873,2LDK APARTMENT,TATEISHI,KATSUSHIKA,No,140000.0,No,70.17,130000,Yes,0,No,4 / 10,1998,23,Aoto Station,9,No
2874,1R APARTMENT,KANAMACHI,KATSUSHIKA,No,44000.0,No,15.0,0,No,0,No,2 / 5,1987,34,Keiseikanamachi Station,7,No
2875,1LDK APARTMENT,SHIROKANEDAI,MINATO,No,247000.0,No,56.16,235000,Yes,0,No,10 / 16,2007,14,Shirokanedai Station,2,No
2876,1R APARTMENT,MINAMIAZABU,MINATO,No,83000.0,No,19.68,75000,Yes,75000,Yes,5 / 8,1995,26,Hiroo Station,12,No
2877,1K APARTMENT,KITASHINJUKU,SHINJUKU,No,88000.0,No,21.0,0,No,0,No,4 / 7,2002,19,Seibushinjuku Station,9,No
2878,2DK APARTMENT,SAKURA,SETAGAYA,No,100000.0,No,38.16,0,No,0,No,4 / 4,1988,33,Miyanosaka Station,3,No
2879,1K APARTMENT,SENJU OKAWACHO,ADACHI,No,76000.0,No,24.4,68000,Yes,68000,Yes,3 / 6,2002,19,Kitasenju Station,15,No
2881,1LDK APARTMENT,NISHINIPPORI,ARAKAWA,No,144000.0,No,48.17,139000,Yes,0,No,1 / 3,2017,4,Mikawashima Station,6,No
2882,1K APARTMENT,NAKAOCHIAI,SHINJUKU,No,68000.0,No,19.87,64000,Yes,0,No,2 / 2,1987,34,Nakai Station,6,No
2883,1K APARTMENT,TAIHEI,SUMIDA,No,110000.0,No,26.93,100000,Yes,0,No,1 / 6,1981,40,Kinshichou Station,5,No
2884,1LDK APARTMENT,OTSUKA,BUNKYO,No,178000.0,No,47.39,168000,Yes,0,No,3 / 4,2020,1,Shinotsuka Station,6,No
2885,1R APARTMENT,NERIMA,NERIMA,No,74000.0,No,16.05,0,No,0,No,1 / 3,2018,3,Toshimaen Station,8,No
2886,1R APARTMENT,MIDORIGAOKA,MEGURO,No,73000.0,No,16.08,68000,Yes,0,No,2 / 3,1987,34,Jiyugaoka Station,5,No
2887,1K APARTMENT,NIHOMBASHIHAKOZAKICHO,CHUO,No,84000.0,No,18.77,77000,Yes,0,No,6 / 8,2001,20,Suitengumae Station,3,No
2888,2DK APARTMENT,HIGASHINIPPORI,ARAKAWA,No,107000.0,No,40.0,194000,Yes,0,No,2 / 6,1989,32,Minowa Station,8,No
2889,1R APARTMENT,KACHIDOKI,CHUO,No,80000.0,No,22.59,75000,Yes,75000,Yes,5 / 11,1975,46,Kachidoki Station,2,No
2890,1LDK APARTMENT,MOTOASAKUSA,TAITO,No,145000.0,No,40.18,145000,Yes,0,No,7 / 11,2015,6,Inaricho Station,3,No
2891,1K APARTMENT,IKEGAMI,OTA,No,77550.0,No,19.18,0,No,0,No,1 / 2,2007,14,Ikegami Station,11,No
2892,1R APARTMENT,NAGASAKI,TOSHIMA,No,51000.0,No,15.52,43000,Yes,0,No,2 / 5,1986,35,Higashi Nagasaki Station,6,No
2893,1DK APARTMENT,SHINOGAWAMACHI,SHINJUKU,No,149500.0,No,45.66,144000,Yes,144000,Yes,2 / 3,2019,2,Iidabashi Station,7,No
2894,1K APARTMENT,KOENJIKITA,SUGINAMI,No,60000.0,No,16.16,58000,Yes,0,No,1 / 2,1961,60,Nakano Station,10,No
2895,2DK APARTMENT,HIRAI,EDOGAWA,No,70000.0,No,33.0,67000,Yes,67000,Yes,4 / 4,1978,43,Hirai Station,6,No
2897,2DK APARTMENT,MUKOJIMA,SUMIDA,No,97000.0,No,35.82,97000,Yes,0,No,3 / 5,1970,51,Hikifune Station,5,No
2898,2DK APARTMENT,KATAKURAMACHI,HACHIOJI,No,78000.0,No,42.0,0,No,0,No,5 / 5,1995,26,Katakura Station,1,No
2899,2K APARTMENT,SUIDO,BUNKYO,No,65000.0,No,25.92,65000,Yes,65000,Yes,4 / 5,1970,51,Edogawabashi Station,2,No
2900,1LDK APARTMENT,HIGASHIYAMA,MEGURO,No,179000.0,No,43.03,174000,Yes,0,No,1 / 4,2020,1,Nakameguro Station,9,No
2901,1LDK APARTMENT,NISHIAZABU,MINATO,No,260000.0,No,56.41,250000,Yes,250000,Yes,6 / 11,2000,21,Nogizaka Station,6,No
2902,1R APARTMENT,DAITA,SETAGAYA,No,55000.0,No,14.52,50000,Yes,0,No,5 / 5,1984,37,Setagaya Daita Station,9,No
2903,1R APARTMENT,NIHOMBASHIHAKOZAKICHO,CHUO,No,85000.0,No,27.0,0,No,0,No,6 / 11,1981,40,Suitengumae Station,4,No
2904,3LDK APARTMENT,KICHIJOJI MINAMICHO,MUSASHINO,No,302000.0,No,70.79,287000,Yes,287000,Yes,2 / 6,2019,2,Inokashirakouen Station,6,No
2905,1R APARTMENT,OGIKUBO,SUGINAMI,No,62000.0,No,16.24,0,No,62000,Yes,7 / 9,1987,34,Ogikubo Station,2,No
2906,1K APARTMENT,IZUMI,SUGINAMI,No,114500.0,No,26.81,0,No,104000,Yes,7 / 11,1998,23,Daitabashi Station,5,No
2907,1R APARTMENT,SANNO,OTA,No,95000.0,No,38.23,92000,Yes,0,No,2 / 2,1991,30,Omori Station,9,No
2908,1R APARTMENT,NAKACHO,MUSASHINO,No,57000.0,No,15.66,53000,Yes,0,No,4 / 5,1984,37,Mitaka Station,2,No
2909,3LDK HOUSE,YANAKA,TAITO,No,270000.0,No,91.11,270000,Yes,270000,Yes,Not Available,2016,5,Nishinippori Station,4,No
2910,1K APARTMENT,NAKAMEGURO,MEGURO,No,94000.0,No,22.16,87000,Yes,0,No,2 / 12,1999,22,Nakameguro Station,7,No
2911,2DK APARTMENT,SETA,SETAGAYA,No,128000.0,No,39.51,125000,Yes,125000,Yes,1 / 3,1990,31,Youga Station,9,No
2913,2DK APARTMENT,MIYANISHICHO,FUCHU,No,95000.0,No,42.75,95000,Yes,0,No,4 / 5,1989,32,Fuchu Station,5,No
2914,2LDK APARTMENT,KOJIMACHO,CHOFU,No,178000.0,No,58.04,178000,Yes,178000,Yes,5 / 15,2015,6,Choufu Station,2,No
2915,1K APARTMENT,NAKANO,NAKANO,No,68000.0,No,14.64,0,No,63000,Yes,1 / 2,1991,30,Nakano Station,12,No
2916,1K APARTMENT,EBISU,SHIBUYA,No,121000.0,No,20.3,0,No,0,No,3 / 6,2013,8,Hiroo Station,9,No
2917,1LDK APARTMENT,UENO,TAITO,No,195000.0,No,50.59,185000,Yes,0,No,11 / 14,2007,14,Ueno Hirokouji Station,3,No
2918,1K APARTMENT,KANAMECHO,TOSHIMA,No,60000.0,No,16.0,56000,Yes,0,No,2 / 5,1985,36,Kanamechou Station,5,No
2919,2LDK APARTMENT,SUIDO,BUNKYO,No,196000.0,No,52.95,186000,Yes,93000,Yes,3 / 7,2006,15,Iidabashi Station,10,No
2920,1LDK APARTMENT,TOYOSU,KOTO,No,175000.0,No,45.48,167000,Yes,0,No,8 / 24,2008,13,Toyosu Station,9,No
2921,1DK APARTMENT,IKEBUKURO (1-CHOME),TOSHIMA,No,88000.0,No,26.0,85000,Yes,0,No,2 / 3,1983,38,Ikebukuro Station,8,No
2922,1K APARTMENT,KAMIKITAZAWA,SETAGAYA,No,55000.0,No,19.8,0,No,0,No,1 / 2,1987,34,Kamikitazawa Station,3,No
2923,1R APARTMENT,OI,SHINAGAWA,No,81000.0,No,17.9,0,No,75000,Yes,3 / 9,1991,30,Oimachi Station,3,No
2924,1R APARTMENT,DAITA,SETAGAYA,No,65000.0,No,16.57,60000,Yes,0,No,1 / 3,1991,30,Umegaoka Station,5,No
2925,1R APARTMENT,KOMABA,MEGURO,No,79000.0,No,21.2,76000,Yes,0,No,3 / 3,1991,30,Shinsen Station,7,No
2926,1R APARTMENT,KITAZAWA,SETAGAYA,No,81000.0,No,18.0,0,No,0,No,3 / 3,1986,35,Shimokitazawa Station,2,No
2927,1K APARTMENT,SETA,SETAGAYA,No,73500.0,No,18.36,0,No,0,No,2 / 7,1997,24,Kaminoge Station,10,No
2929,1K APARTMENT,HIKAWADAI,NERIMA,No,77000.0,No,20.13,0,No,68000,Yes,4 / 4,2016,5,Hikawadai Station,8,No
2930,1R APARTMENT,ASAGAYAMINAMI,SUGINAMI,No,52000.0,No,10.5,50000,Yes,0,No,2 / 2,1990,31,Shin Koenji Station,9,No
2931,1K APARTMENT,OI,SHINAGAWA,No,89000.0,No,28.75,86000,Yes,0,No,2 / 3,1999,22,Nishioi Station,11,No
2932,2DK APARTMENT,KOYAMA,SHINAGAWA,No,92000.0,No,38.8,88000,Yes,88000,Yes,2 / 5,1971,50,Musashi Koyama Station,8,No
2933,1K APARTMENT,NUMABUKURO,NAKANO,No,88000.0,No,28.53,0,No,85000,Yes,2 / 2,2013,8,Numabukuro Station,8,No
2934,1K APARTMENT,MAENOCHO,ITABASHI,No,73000.0,No,20.59,67000,Yes,67000,Yes,1 / 5,2007,14,Shimura-sakaue Station,7,No
2935,1R APARTMENT,UMEZATO,SUGINAMI,No,60000.0,No,18.13,60000,Yes,0,No,2 / 2,1990,31,Shin Koenji Station,3,No
2936,3LDK APARTMENT,AKASAKA,MINATO,Yes,585000.0,No,156.1,1100,Yes,550000,Yes,2 / 5,1982,39,Tameike-sanno Station,2,No
2937,1LDK APARTMENT,KAMIKITAZAWA,SETAGAYA,No,125000.0,No,45.97,110000,Yes,0,No,2 / 5,1992,29,Kamikitazawa Station,5,No
2938,1R APARTMENT,CHITOSEDAI,SETAGAYA,No,59200.0,No,16.5,54000,Yes,0,No,3 / 4,1985,36,Soshigaya Okura Station,8,No
2939,1K APARTMENT,DOGENZAKA,SHIBUYA,No,111000.0,No,20.14,0,No,0,No,9 / 13,2007,14,Shinsen Station,3,No
2941,1K APARTMENT,KITAZAWA,SETAGAYA,No,83000.0,No,20.63,0,No,0,No,2 / 2,2018,3,Sasazuka Station,8,No
2942,2DK APARTMENT,YOYOGI,SHIBUYA,No,97000.0,No,33.22,194000,Yes,0,No,2 / 2,1981,40,Yoyogi Station,10,No
2943,1R APARTMENT,CHITOSE,SUMIDA,No,68000.0,No,16.42,63000,Yes,0,No,3 / 9,1988,33,Morishita Station,7,No
2945,1DK APARTMENT,TAKASAGO,KATSUSHIKA,No,51000.0,No,28.35,0,No,0,No,Not Available,1960,61,Keiseitakasago Station,4,No
2946,3DK APARTMENT,KYUDEN,SETAGAYA,No,114000.0,No,51.61,109000,Yes,0,No,1 / 5,1984,37,Sengawa Station,10,No
2947,1LDK APARTMENT,HYAKUNINCHO,SHINJUKU,No,165000.0,No,44.45,330000,Yes,165000,Yes,4 / 7,2004,17,Shinokubo Station,1,No
2948,1K APARTMENT,YOYOGI,SHIBUYA,No,131000.0,No,22.9,0,No,0,No,3 / 4,2019,2,Minami Shinjuku Station,7,No
2949,1K APARTMENT,YUTENJI,MEGURO,No,70000.0,No,16.6,0,No,0,No,1 / 2,1986,35,Yutenji Station,4,No
2950,2DK APARTMENT,UEHARA,SHIBUYA,No,148000.0,No,39.0,145000,Yes,0,No,2 / 3,1985,36,Yoyogi-hachiman Station,3,No
2951,1R APARTMENT,NAKAMEGURO,MEGURO,No,69930.0,No,15.36,62000,Yes,0,No,4 / 7,1983,38,Nakameguro Station,7,No
2952,1R APARTMENT,TAIRAMACHI,MEGURO,No,70000.0,No,17.22,67000,Yes,67000,Yes,3 / 4,1984,37,Toritsu-daigaku Station,8,No
2953,1LDK APARTMENT,SHINKAWA,CHUO,No,162000.0,No,42.15,155000,Yes,0,No,4 / 12,2004,17,Hacchoubori Station,5,No
2954,1DK APARTMENT,SENDAGAYA,SHIBUYA,No,154000.0,No,39.66,146000,Yes,0,No,1 / 4,1994,27,Sendagaya Station,8,No
2955,2DK APARTMENT,TOKUMARU,ITABASHI,No,93000.0,No,45.9,88000,Yes,0,No,2 / 6,1978,43,Tōbu-nerima Station,4,No
2956,1R APARTMENT,YAYOI,BUNKYO,No,77000.0,No,23.7,77000,Yes,77000,Yes,2 / 5,1983,38,Nezu Station,4,No
2957,1K APARTMENT,FUSSA,FUSSA,No,53000.0,No,23.71,0,No,0,No,1 / 2,2003,18,Fussa Station,13,No
2958,1R APARTMENT,MAENOCHO,ITABASHI,No,55000.0,No,17.01,50000,Yes,0,No,5 / 5,1988,33,Tokiwadai Station,11,No
2961,2LDK APARTMENT,NISHIASAKUSA,TAITO,No,142000.0,No,51.54,132000,Yes,0,No,3 / 8,1992,29,Asakusa Station,4,No
2962,1DK APARTMENT,MORISHITA,KOTO,No,91000.0,No,24.4,0,No,0,No,5 / 5,1989,32,Kikukawa Station,6,No
2963,2DK APARTMENT,SANNO,OTA,No,115000.0,No,44.0,100000,Yes,100000,Yes,1 / 3,2000,21,Omori Station,11,No
2964,2DK APARTMENT,OMORINISHI,OTA,No,135000.0,No,47.8,130000,Yes,0,No,4 / 4,1988,33,Omorimachi Station,5,No
2965,1K APARTMENT,NISHIHOKIMA,ADACHI,No,66550.0,No,21.65,0,No,0,No,1 / 2,2009,12,Take No Tsuka Station,15,No
2966,1R APARTMENT,YAYOICHO,NAKANO,No,87000.0,No,25.0,0,No,0,No,2 / 2,1994,27,Nakanoshinbashi Station,7,No
2967,2LDK APARTMENT,SHIMORENJAKU,MITAKA,No,133000.0,No,55.65,128000,Yes,0,No,2 / 4,1989,32,Mitaka Station,7,No
2968,1K APARTMENT,HONCHO,KOGANEI,No,60000.0,No,20.8,57000,Yes,0,No,9 / 10,1987,34,Musashikoganei Station,2,No
2969,1K APARTMENT,SHIRATORI,KATSUSHIKA,No,53000.0,No,16.0,50000,Yes,0,No,1 / 2,1993,28,Ohanajaya Station,6,No
2971,1R APARTMENT,ASAGAYAKITA,SUGINAMI,No,66000.0,No,16.28,0,No,31500,Yes,3 / 4,1994,27,Asagaya Station,5,No
2972,2DK APARTMENT,AKATSUKASHIMMACHI,ITABASHI,No,75000.0,No,38.47,0,No,0,No,4 / 4,1986,35,Chikatetsu Akatsuka Station,8,No
2973,1K APARTMENT,OKUSAWA,SETAGAYA,No,80000.0,No,20.0,80000,Yes,0,No,1 / 2,2003,18,Kuhonbutsu Station,4,No
2974,1K APARTMENT,TAIRAMACHI,MEGURO,No,65000.0,No,23.0,65000,Yes,65000,Yes,1 / 2,1971,50,Toritsu-daigaku Station,5,No
2975,3DK APARTMENT,IKEBUKURO (2-4-CHOME),TOSHIMA,No,166000.0,No,49.68,300000,Yes,0,No,12 / 12,1984,37,Ikebukuro Station,6,No
2977,1R APARTMENT,KITASHINJUKU,SHINJUKU,No,93000.0,No,27.2,90000,Yes,90000,Yes,1 / 4,1994,27,Nishi-shinjuku Station,8,No
2978,1R APARTMENT,SHIMOTAKAIDO,SUGINAMI,No,64000.0,No,15.88,64000,Yes,0,No,3 / 12,1987,34,Shimotakaido Station,2,No
2979,1DK APARTMENT,TAKADANOBABA,SHINJUKU,No,106500.0,No,33.33,102000,Yes,102000,Yes,1 / 3,1989,32,Takadanobaba Station,5,No
2980,1R APARTMENT,HOMMACHI,SHIBUYA,No,57000.0,No,14.3,0,No,0,No,2 / 4,1983,38,Nishishinjuku Go Choume Station,10,No
2981,1R APARTMENT,HONGO,BUNKYO,No,68000.0,No,15.6,63000,Yes,63000,Yes,5 / 6,1985,36,Hongousanchoume Station,7,No
2982,1K APARTMENT,KITAUENO,TAITO,No,111000.0,No,25.92,101000,Yes,0,No,9 / 15,2019,2,Iriya Station,4,No
2983,2DK APARTMENT,NAKACHO,MUSASHINO,No,86000.0,No,28.0,80000,Yes,80000,Yes,1 / 5,1989,32,Mitaka Station,5,No
2984,1K APARTMENT,TAKADANOBABA,SHINJUKU,No,82550.0,No,21.73,78000,Yes,0,No,2 / 2,1992,29,Takadanobaba Station,10,No
2985,1R APARTMENT,KAMIIKEBUKURO,TOSHIMA,No,63000.0,No,17.54,0,No,0,No,4 / 6,1992,29,Kita Ikebukuro Station,4,No
2986,1R APARTMENT,MISAKICHO,CHIYODA,No,115000.0,No,25.21,103000,Yes,0,No,4 / 12,2011,10,Suidoubashi Station,5,No
2987,1R APARTMENT,KAMIIKEDAI,OTA,No,79000.0,No,29.35,74000,Yes,74000,Yes,2 / 5,1991,30,Senzoku Ike Station,3,No
2988,1K APARTMENT,NAKAGAWA,ADACHI,No,58000.0,No,21.98,55000,Yes,0,No,5 / 6,1988,33,Kameari Station,5,No
2989,1LDK APARTMENT,YANAKA,TAITO,No,121000.0,No,45.54,0,No,117000,Yes,2 / 2,2009,12,Nippori Station,5,No
2990,1DK APARTMENT,SHIMIZU,SUGINAMI,No,70000.0,No,32.03,0,No,0,No,1 / 3,1997,24,Ogikubo Station,9,No
2991,1K APARTMENT,SHIOMI,KOTO,No,64000.0,No,22.39,64000,Yes,0,No,1 / 9,2007,14,Shiomi Station,4,No
2993,1R APARTMENT,FUJIMIDAI,NERIMA,No,48000.0,No,19.87,0,No,0,No,1 / 2,1988,33,Fujimidai Station,8,No
2994,1K APARTMENT,SUGAMO,TOSHIMA,No,113000.0,No,25.17,103000,Yes,103000,Yes,2 / 9,2020,1,Sugamo Station,2,No
2996,1K APARTMENT,OMORIHIGASHI,OTA,No,83550.0,No,20.28,0,No,0,No,1 / 2,2008,13,Omorimachi Station,10,No
2997,1K APARTMENT,OJIMA,KOTO,No,73000.0,No,22.68,68000,Yes,68000,Yes,6 / 6,1997,24,Ojima Station,4,No
2998,1DK APARTMENT,MOTOASAKUSA,TAITO,No,80000.0,No,23.2,75000,Yes,75000,Yes,2 / 5,1977,44,Tawaramachi Station,7,No
2999,1R APARTMENT,MITA,MINATO,No,73000.0,No,15.66,68000,Yes,68000,Yes,4 / 5,1985,36,Sengakuji Station,3,No
3000,3SLDK HOUSE,KITASHINJUKU,SHINJUKU,No,298000.0,No,128.92,596000,Yes,298000,Yes,Not Available,1992,29,Okubo Station,5,No
3001,1K APARTMENT,ROPPONGI,MINATO,No,100000.0,No,26.46,95000,Yes,0,No,1 / 8,1980,41,Roppongi-itchome Station,3,No
3002,1R APARTMENT,NAKANO,NAKANO,No,95050.0,No,20.45,0,No,0,No,1 / 2,2017,4,Higashinakano Station,13,No
3003,1R APARTMENT,SENZOKU,MEGURO,No,64000.0,No,16.25,0,No,59000,Yes,3 / 5,1984,37,Senzoku Station,2,No
3004,1R APARTMENT,SENDAGAYA,SHIBUYA,No,175000.0,No,32.95,165000,Yes,0,No,12 / 14,2005,16,Kita Sandou Station,2,No
3005,1DK APARTMENT,HIGASHITABATA,KITA,No,103000.0,No,35.0,0,No,0,No,1 / 4,2002,19,Tabata Station,5,No
3006,3LDK APARTMENT,NAKAMEGURO,MEGURO,No,385000.0,No,82.09,770000,Yes,385000,Yes,5 / 5,2008,13,Nakameguro Station,10,No
3007,1K APARTMENT,SAKURAJOSUI,SETAGAYA,No,63000.0,No,15.47,0,No,0,No,3 / 3,1989,32,Sakurajousui Station,2,No
3009,1LDK APARTMENT,KITASHINJUKU,SHINJUKU,No,130000.0,No,40.0,0,No,0,No,1 / 4,1980,41,Okubo Station,8,No
3011,1K APARTMENT,DENENCHOFU MINAMI,OTA,No,56000.0,No,17.22,50000,Yes,0,No,2 / 5,1989,32,Numabe Station,3,No
3012,1K APARTMENT,SHIMOMARUKO,OTA,No,65000.0,No,16.51,0,No,0,No,2 / 6,1991,30,Musashi-Nitta Station,7,No
3013,1R APARTMENT,KITAOTSUKA,TOSHIMA,No,65000.0,No,21.61,60000,Yes,0,No,5 / 9,1982,39,Otsuka Station,4,No
3014,2LDK HOUSE,SETA,SETAGAYA,No,232000.0,No,81.08,232000,Yes,232000,Yes,Not Available,2002,19,Futako-Tamagawa Station,9,No
3016,1K APARTMENT,TOMIGAYA,SHIBUYA,No,77000.0,No,18.81,75000,Yes,0,No,2 / 3,1986,35,Yoyogi-koen Station,10,No
3017,3LDK APARTMENT,EBISUMINAMI,SHIBUYA,No,298000.0,No,76.94,596000,Yes,298000,Yes,2 / 7,1971,50,Ebisu Station,3,No
3018,1R APARTMENT,KOISHIKAWA,BUNKYO,No,67000.0,No,17.1,61000,Yes,61000,Yes,5 / 10,1994,27,Myōgadani Station,4,No
3019,1K APARTMENT,KITASHINJUKU,SHINJUKU,No,112000.0,No,32.12,103000,Yes,0,No,1 / 3,2002,19,Okubo Station,5,No
3020,1DK APARTMENT,SHIMOTAKAIDO,SUGINAMI,No,126000.0,No,34.07,121000,Yes,0,No,2 / 4,2017,4,Kamikitazawa Station,6,No
3021,1R APARTMENT,IKEBUKUROHONCHO,TOSHIMA,No,55000.0,No,10.7,0,No,0,No,2 / 2,2015,6,Shimoitabashi Station,3,No
3022,1K APARTMENT,SENZOKU,TAITO,No,62500.0,No,16.45,56500,Yes,56500,Yes,4 / 4,2002,19,Iriya Station,7,No
3023,2LDK APARTMENT,UGUISUDANICHO,SHIBUYA,No,320000.0,No,104.0,600000,Yes,300000,Yes,1 / 3,1990,31,Shibuya Station,7,No
3025,2K APARTMENT,TATSUNUMA,ADACHI,No,48960.0,Yes,29.16,90000,Yes,0,No,2 / 2,1978,43,Kitaayase Station,16,No
3026,1LDK APARTMENT,HATCHOBORI,CHUO,No,222000.0,No,49.37,0,No,0,No,7 / 10,2007,14,Hacchoubori Station,1,No
3027,1K APARTMENT,SHIMO,KITA,No,58000.0,No,17.0,56000,Yes,56000,Yes,2 / 3,1998,23,Shimo Station,1,No
3028,1K APARTMENT,SHIBAMATA,KATSUSHIKA,No,44000.0,No,13.46,0,No,0,No,3 / 3,2007,14,Shibamata Station,4,No
3029,1R APARTMENT,MISUJI,TAITO,No,102500.0,No,25.07,0,No,0,No,7 / 9,2008,13,Shin Okachimachi Station,4,No
3030,2DK APARTMENT,MIDORI,SUMIDA,No,112000.0,No,42.0,104000,Yes,0,No,3 / 9,1989,32,Kikukawa Station,9,No
3031,1R APARTMENT,SEKIGUCHI,BUNKYO,No,121000.0,No,28.42,111000,Yes,0,No,6 / 7,1986,35,Edogawabashi Station,1,No
3032,1R APARTMENT,MARUYAMACHO,SHIBUYA,No,95000.0,No,16.87,85000,Yes,0,No,11 / 11,1997,24,Shinsen Station,4,No
3034,1K APARTMENT,YAKUMO,MEGURO,No,93550.0,No,21.11,0,No,0,No,1 / 3,2018,3,Jiyugaoka Station,14,No
3035,1K APARTMENT,SENKAWA,TOSHIMA,No,85000.0,No,20.56,76000,Yes,0,No,2 / 4,2005,16,Kanamechou Station,6,No
